title,year,rating,votes,metascore,genres,budget,gross,plot outline
Inherent Vice,2014,6.7,81165,81,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance']",,,"During the psychedelic 60s and 70s Larry ""Doc"" Sportello is surprised by his former girlfriend and her plot for her billionaire boyfriend, his wife, and her boyfriend. A plan for kidnapping gets shaken up by the oddball characters entangled in this groovy kidnapping romp based upon the novel by Thomas Pynchon."
The Hero of Color City,2014,4.1,418,33,"['Animation', 'Family']",,32048,"A colorful and diverse band of crayons strive to protect their magical, multi-hued homeland from an evil tyrant that threatens to rid their world of joy and color."
She's Funny That Way,2014,6.1,21694,45,['Comedy'],10000000,6000000,Nan
The Grand Budapest Hotel,2014,8.1,618777,88,"['Adventure', 'Comedy', 'Drama']",25000000,174800000,"GRAND BUDAPEST HOTEL recounts the adventures of Gustave H, a legendary concierge at a famous European hotel between the wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune -- all against the back-drop of a suddenly and dramatically changing Continent."
Free Birds,2013,5.9,20646,38,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",55000000,110400000,"After years of fruitless warning of his farmyard brethren of the coming Thanksgiving doom, Reggie the Turkey finds himself spared as the annual Pardoned Turkey. However, Reggie's easy life is disrupted by Jake, a fanatic turkey who drags him along with the insane idea of going back in time to make sure turkeys are not part of the first Thanksgiving. Through foolhardiness and luck, the pair manage to take an experimental time machine to do just that. Now in 1621 at the Plymouth colony, Reggie and Jake find themselves in the middle of a turkey clan's struggle for survival. In doing so, their preconceptions of the world and themselves are challenged forever in a conflict from which the world will never be the same."
Are You Here,2013,5.3,13953,37,"['Comedy', 'Drama']",,938942,"Ben Baker is a man-child who lives on his friend's couch getting high. His friend, Steve Dallas, is a moderately successful weather reporter who is living a superficial life. When Ben receives word that his father has died, Steve drives him home and they re-connect with Ben's successful and driven sister Terri and hippie step-mother Angela who is the same age as they are. The reading of the will drives Ben to come up with a new purpose in life, but those around him don't prove to be very supportive, and then they all re-examine their own lives."
The Internship,2013,6.3,177738,42,['Comedy'],58000000,93500000,"Billy (Vince Vaughn) and Nick (Owen Wilson) are salesmen whose careers have been torpedoed by the digital world. Trying to prove they are not obsolete, they defy the odds by talking their way into a coveted internship at Google, along with a battalion of brilliant college students. But, gaining entrance to this utopia is only half the battle. Now they must compete with a group of the nation's most elite, tech-savvy geniuses to prove that necessity really is the mother of re-invention."
The Big Year,2011,6.2,39119,53,['Comedy'],41000000,7448385,"In birding, a Big Year is seeing or hearing as many different species of birds as possible in a calendar year. Three men pursue the Birder of the Year title: Kenny Bostick, who's seen a record 732 in a past big year, Stu Preissler, newly retired, and Brad Harris, who narrates the story. Life gets in the way: Bostick's wife wants a baby, Stu's firm needs him for sensitive negotiations, and Brad, divorced and underemployed at 36, has an encouraging mom and a disapproving dad. They criss-cross the continent (including a trip to Alaska's westernmost island), follow migration patterns, and head for storms that force birds to ground. Who will win, at what cost, and with what rewards?"
Cars 2,2011,6.2,133551,57,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']",200000000,562100000,"The famous race car Lightning McQueen and his team are invited to compete in the World Grand Prix race. There, McQueen's best friend Mater finds himself involved in international espionage, and alongside two professional British spies attempts to uncover a secret plan led by a mysterious mastermind and his criminal gang, which threatens the lives of all competitors in the tournament."
Midnight in Paris,2011,7.7,350529,81,"['Comedy', 'Fantasy', 'Romance']",17000000,151100000,"Gil and Inez travel to Paris as a tag-along vacation on her parents' business trip. Gil is a successful Hollywood writer but is struggling on his first novel. He falls in love with the city and thinks they should move there after they get married, but Inez does not share his romantic notions of the city or the idea that the 1920s was the golden age. When Inez goes off dancing with her friends, Gil takes a walk at midnight and discovers what could be the ultimate source of inspiration for writing. Gil's daily walks at midnight in Paris could take him closer to the heart of the city but further from the woman he's about to marry."
Hall Pass,2011,5.9,112653,45,"['Comedy', 'Romance']",36000000,83200000,"A couple of married guys are always looking at other women. Their wives are fed up with their behavior, and grant them a 'hall pass': a week off their marriage allowing them to do anything. But the guys take their time and their week is almost up. What they don't realize is that at the same time their wives make connections of their own."
Little Fockers,2010,5.5,97631,27,"['Comedy', 'Romance']",100000000,310700000,"It has taken 10 years, two little Fockers with wife Pam, and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, however, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan--including Pam's lovelorn ex, Kevin (Owen Wilson)--descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house. But with all the misunderstandings, spying, and covert missions, will Greg pass Jack's final test and become the family's next patriarch, or will the circle of trust be broken for good?"
How Do You Know,2010,5.4,40312,46,"['Comedy', 'Drama', 'Romance']",120000000,48700000,"Star softball player, Lisa, has just been cut from the national team; Scholarly business man, George, has just been indicted from his father's company. With everything that they know in their lives taken from them, Lisa and George attempt to find romance. Lisa's potential boyfriend, Matty, however, is as clueless and perpetually single as they come, and George's girlfriend just dumped him. A chance hook-up through mutual friends, Lisa and George may be able to form a friendship, or more, that can help them climb out of the piles of lemons that life has handed to them."
Marmaduke,2010,4.2,13081,30,"['Comedy', 'Family']",50000000,83800000,"Marmaduke, the world's most lovable Great Dane, leaps from comic strip fame (appearing in six hundred newspapers in over twenty countries) to big screen stardom in this family comedy event. A suburban family moves to a new neighborhood in Orange County, California with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way. But it's not all living large for the Duke, who finds that fitting in with his new four-legged friends, and a potential romantic interest, isn't always easy for a super-sized teenage dog. Owen Wilson gives the beloved Great Dane his voice in the film, which also features the voices of Fergie, George Lopez, Emma Stone, and Kiefer Sutherland."
Fantastic Mr. Fox,2009,7.8,173036,83,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family']",40000000,46500000,"This is the story of Mr. Fox and his wild-ways of hen heckling, turkey taking and cider sipping, nocturnal, instinctive adventures. He has to put his wild days behind him and do what fathers do best: be responsible. He is too rebellious. He is too wild. He is going to try ""just one more raid"" on the three nastiest, meanest farmers that are Boggis, Bunce and Bean. It is a tale of crossing the line of family responsibilities and midnight adventure and the friendships and awakenings of this country life that is inhabited by Fantastic Mr. Fox and his friends."
Night at the Museum: Battle of the Smithsonian,2009,6,157110,42,"['Adventure', 'Comedy', 'Family', 'Fantasy']",150000000,413100000,"Ben Stiller returns as night watchman Larry Daily, now a successful business man, who gets back to the museum just in time to find that he needs to get his friends out of trouble. This new installment takes us to the Smithsonian, and introduces us to new characters, such as Amelia Earhart, General Custer, and many more!"
Marley & Me,2008,7.1,134009,53,"['Comedy', 'Drama', 'Family']",60000000,247800000,"After their wedding, newspaper writers John and Jennifer Grogan move to Florida. In an attempt to stall Jennifer's ""biological clock"", John gives her a puppy. While the puppy Marley grows into a 100 pound dog, he loses none of his puppy energy or rambunctiousness. Meanwhile, Marley gains no self-discipline. Marley's antics give John rich material for his newspaper column. As the Grogans mature and have children of their own, Marley continues to test everyone's patience by acting like the world's most impulsive dog."
Drillbit Taylor,2008,5.7,54795,41,"['Comedy', 'Drama']",40000000,49700000,"Homeless veteran Bob 'Drillbit' Taylor manages to enjoy life anyhow and even saves some cash for his dream, an 'all-paid' move to Alaska, even if that may take many years. His dream comes within reach when clever nerd Wade, has fat friend Ryan 'T-dog' and cocky shrimp Jim, all new to high-school, are bullied so badly by emancipated Filkins and his buddies that they advertise for a bodyguard. Only Drillbit seems affordable and not crazy, so he's hired and drains their pocket-money and home content. He's clueless how to protect them but gives them (bogus) self-defense classes."
The Darjeeling Limited,2007,7.2,162590,67,"['Adventure', 'Comedy', 'Drama']",17500000,35000000,"A year after the accidental death of their father, three brothers -- each suffering from depression - meet for a train trip across India. Francis, the eldest, has organized it. The brothers argue, sulk, resent each other, and fight. The youngest, Jack, estranged from his girlfriend, is attracted to one of the train's attendants. Peter has left his pregnant wife at home, and he buys a venomous snake. After a few days, Francis discloses their surprising and disconcerting destination. Amid foreign surroundings, can the brothers sort out their differences? A funeral, a meditation, a hilltop ritual, and the Bengal Lancer figure in the reconciliation."
Night at the Museum,2006,6.4,280889,48,"['Adventure', 'Comedy', 'Family', 'Fantasy']",387000000,1310000000,"In New York, unemployed and divorced Larry Daley is a complete loser. His son Nick is very disappointed with his father who is going to be evicted. Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills. On his first shift, Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets. The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn. When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. Larry organizes all the historic characters to help him stop the criminals and save the museum."
Mater and the Ghostlight,2006,6.6,6671,Nan,"['Animation', 'Short', 'Comedy', 'Family', 'Horror']",,,"At night, all around town, Mater the disheveled tow truck is causing havoc, playing tricks, disturbing the peace, and scaring other motor vehicles. At Flo's V-8 café, the local cop car warns Mater about the ghostlight, a legendary orb of blue that haunts these parts. The cop car tells the story and warns one and all that the ghostlight hates the sound of clanking metal. All the cars rush home, leaving only Mater, whistling past the graveyard, alone at his junkyard. Then, a blue light appears; can Mater save himself or is there more to the story?"
"You, Me and Dupree",2006,5.6,74254,46,"['Comedy', 'Romance']",54000000,130400000,"For newlyweds Carl and Molly Peterson, life can't get any sweeter as they begin anew to settle down into married life. With a nice house and established careers in tow, nothing seems to get in their way. However, Carl is about find out just how much friendship means when Dupree, his best friend has been displaced from his home and fired from his job because of attending their wedding. Taking his friend in, what Carl and Molly are about to experience is that the fine line between a few days and whatever else is after, can be a lot more than they bargained for. Especially when their friend overstays his welcome in far too many ways than he should."
Cars,2006,7.1,319740,73,"['Animation', 'Comedy', 'Family', 'Sport']",120000000,462200000,"While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner."
Wedding Crashers,2005,7,310275,64,"['Comedy', 'Romance']",40000000,285200000,"Two friends, John (played by Owen Wilson) and Jeremy (Vince Vaughn), crash weddings to pick up women. One day they crash the wedding of the daughter of the Treasury Secretary, Secretary Cleary (Christopher Walken). Instead of short-term flings they end up being invited to the Clearys' island estate, and potentially meet the loves of their lives..."
The Wendell Baker Story,2005,5.5,5418,44,"['Comedy', 'Drama', 'Romance']",8000000,153169,"Near the Texas-Mexico border, Wendell Baker has a few things going for him: his genial nature and optimism and the love of Doreen. His troubles? He dances around telling her that he loves her, and his idea of work is illegal. He's arrested, imprisoned, and she puts him behind her when she realizes that even prison is just a good excuse for him to play football with the guys. When he is paroled, it's to a job in the ""hotel industry"" at a board and care home for seniors, where the head nurse is running a scam. Three of the residents respond to Wendell's good heart. Can they expose the scam and help Wendell win back Doreen?"
The Life Aquatic with Steve Zissou,2004,7.3,163476,62,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']",50000000,34800000,"When his partner is killed by the mysterious and possibly nonexistent Jaguar Shark, Steve Zissou and his Team Zissou crew set off for an expedition to hunt down the creature. Along with his estranged wife, a beautiful journalist and a co-pilot who could possibly be Zissou's son, the crew set off for one wild expedition."
Starsky & Hutch,2004,6.1,130229,55,"['Comedy', 'Crime']",60000000,170268750,"Set in the 1970s in a metropolis called ""Bay City,"" this is the tale of two police detective partners, Ken ""Hutch"" Hutchinson, and Dave Starsky, who always seem to get the toughest cases from their boss, Captain Dobey, rely on omniscient street informer Huggy Bear and race to the scene of the crimes in their souped-up 1974 Ford Torino hot rod, telling the story of their first big case (as a prequel to the TV show), which involved a former college campus drug dealer who went on to become a white collar criminal."
The Big Bounce,2004,4.9,16948,42,"['Comedy', 'Crime']",50000000,6800000,"Jack Ryan, a charming but mischievous kid with a history of small cons, never nasty, as he always approaches life from the pleasant side, goes to surfers paradise Hawai, where dodgy district judge Walter Crewes enlists him to get to real big criminals. Jack finds himself teaming up in bed and thieving 'business' with Nancy Hayes, the greedy mistress of evil hotel magnate Ray Ritchie and his dumb lieutenant Bob Rogers, Jr. and a real temptress gold-digger but is about the only one without an hidden agenda..."
Shanghai Knights,2003,6.2,92670,58,"['Action', 'Adventure', 'Comedy']",50000000,88300000,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds. Chon's sister, Lin, has the same idea, and uncovers a worldwide conspiracy to murder the royal family but almost no one will believe her."
I Spy,2002,5.4,45741,35,"['Action', 'Adventure', 'Comedy', 'Thriller']",70000000,55500000,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful illegal arms dealers, and foil his treacherous plans for the plane."
Behind Enemy Lines,2001,6.4,93874,49,"['Action', 'Drama', 'Thriller', 'War']",40000000,92000000,"Fighter navigator Chris Burnett wants out: he was looking for something more than the boring recon missions he's been flying. He finds himself flying the lone Christmas day mission over war-torn Bosnia. But when he talks pilot Stackhouse into flying slightly off-course to check out an interesting target, the two get shot down. Burnett is soon alone, trying to outrun a pursuing army, while commanding officer Reigert finds his rescue operation hamstrung by politics, forcing Burnett to run far out of his way."
The Royal Tenenbaums,2001,7.6,242177,76,"['Comedy', 'Drama']",21000000,71400000,"Three grown prodigies, all with a unique genius of some kind, and their mother are staying at the family household. Their father, Royal had left them long ago, and comes back to make things right with his family."
Zoolander,2001,6.6,227918,61,['Comedy'],28000000,60800000,"Derek Zoolander is VH1's three time male model of the year, but when Hansel wins the award instead, Zoolander's world becomes upside down. His friends disappear, his father is disappointed in him, and he feels that he's not good as a model anymore. But when evil fashion guru Mugatu hires Zoolander, he thinks his life has turned back round again, that is until he finds out that Mugatu has actually brainwashed him to kill the Prime Minister of Malaysia. Can Zoolander and his new friends find out how to prevent the incident before it's too late?"
Meet the Parents,2000,7,289676,73,"['Comedy', 'Romance']",55000000,330400000,"A Jewish male nurse plans to ask his live-in girl friend to marry him. However, he learns that her strict father expects to be asked for his daughter's hand before she can accept. Thus begins the visit from Hell as the two travel to meet Mom and Dad, who turns out to be former CIA with a lie detector in the basement. Coincidentally, a sister also has announced her wedding to a young doctor. Of course everything that can go wrong, does, including the disappearance of Dad's beloved Himalayan cat, Jinxie."
Shanghai Noon,2000,6.6,110168,77,"['Action', 'Adventure', 'Comedy', 'Western']",55000000,100500000,"A 19th century Western. Chon Wang is a clumsy Imperial Guard to the Emperor of China. When Princess Pei Pei is kidnapped from the Forbidden City, Wang feels personally responsible and insists on joining the guards sent to rescue the Princess, who has been whisked away to the United States. In Nevada and hot on the trail of the kidnappers, Wang is separated from the group and soon finds himself an unlikely partner with Roy O'Bannon, a small time robber with delusions of grandeur. Together, the two forge onto one misadventure after another."
The Haunting,1999,4.9,66000,42,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",80000000,177300000,"A remake of the classic 1963 movie ""The Haunting"" about a team of paranormal experts who look into strange occurrences in an ill-fated house. Through the course of the night some will unravel, some will question, and all will fight for their lives as the house fights back."
The Minus Man,1999,6.2,5979,56,"['Crime', 'Drama', 'Mystery', 'Thriller']",,,"A cold-blooded serial killer floats around the country and chooses his victims from people who complain about their lives and indicate a willingness to be killed. His murders are introduced with the killing of an asthmatic junkie. The killer settles into a seaside rooming house run by an unhappy married couple and waits for his next victims to unveil themselves. Dream cops plague his nights, while plotting his murders. Meanwhile, he also starts a relationship with a postal clerk."
Permanent Midnight,1998,6.3,6517,57,"['Biography', 'Drama', 'Romance']",,1166199,"Comedy writer Jerry Stahl, whose $6000-a-week heroin habit had him taking his infant daughter along on his drug runs and doing smack during TV script conferences. Departing detox, Stahl explores memories with survivor Kitty, who listens patiently to Stahl's flashback. Other women in Stahl's life are his British wife Sandra and his agent Vola. For the TV series ""Mr. Chompers"" (inspired by ALF), Stahl meets with sitcom exec Craig Ziffer and puppeteer Allen. For freaky freebasing, Stahl hangs with mumbler Nicky and druggie Gus."
Anaconda,1997,4.7,85723,37,"['Action', 'Adventure', 'Horror', 'Thriller']",45000000,136000000,"When a documentary crew traveling through the Amazon jungle, picks up a stranded man, they are unaware of the trouble that will occur. This stranger's hobby is to capture the giant Anaconda snake, and plans to continue targeting it on their boat, by any means necessary."
