title,year,rating,votes,metascore,genres,budget,gross,plot outline
Fast & Furious 6,2013,7.1,342047,61,"['Action', 'Crime', 'Thriller']",160000000,788700000,"Based on the true story of Daniel Lugo (Mark Wahlberg) a Miami bodybuilder who wants to live the American dream. He would like to have the money that other people have. So he enlists the help of fellow bodybuilder Adrian Doorbal (Anthony Mackie) and ex-convict, Christian bodybuilder Paul Doyle (Dwayne Johnson). Their kidnapping and extortion scheme goes terribly wrong since they have muscles for brains and they're left to haphazardly try to hold onto the elusive American dream."
Pain & Gain,2013,6.4,185175,45,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",30500000,86200000,"After failing to get into the police academy, Chris Potamitis (Liam Hemsworth), settles for a security guard job with the EMPIRE STATE Armored Truck Company. Chris makes the mistake of mentioning the company's lax security to his best friend, Eddie (Michael Angarano), and is soon unwittingly drawn into an elaborate scheme to rob the abundant amounts of cash being stored there - resulting in the largest cash heist in U.S. History. As the stakes continue to rise, Chris and Eddie must outwit James Ransone (Dwayne Johnson), the veteran NYPD Detective that is hot on their trail, as well as the local crime bosses that want to know who pulled a job on their turf, or suffer the consequences."
Empire State,2013,5.2,17742,Nan,"['Crime', 'Thriller']",11000000,3700000,"The Joes re-team to prevent Cobra from achieving total world domination in this sequel that picks up shortly after the events of G.I. Joe: The Rise of Cobra. The Nanomite threat has been neutralized, and the U.S. government has imprisoned Cobra Commander and Destro in an inescapable subterranean prison. When the leader of Pakistan is assassinated, the U.S. president (Jonathan Pryce) calls on the Joes to secure Pakistan's nuclear warheads before they fall into enemy hands. In the wake of successfully completing their mission, however, the Joes are decimated in a devastating surprise attack. When the smoke clears, Roadblock (Dwayne Johnson), Lady Jaye (Adrianne Palicki), and Flint (D.J. Cotrona) are the sole survivors. They're convinced that something is amiss in the White House, and as Lady Jaye theorizes that an impostor is pretending to be the commander in chief, bad guys Storm Shadow (Lee Byung-Hun) and Firefly (Ray Stevenson) team up to break Cobra Commander (Luke Bracey) out of prison. Later, as Storm Shadow retreats into the mountains to recover from burns incurred in the extraction, Snake Eyes (Ray Park) and Jinx (Elodie Yung) manage to capture the elusive white ninja, in the process discovering a shocking secret about his past and learning that Zartan (Arnold Vosloo), posing as the president, has called an international summit to discuss nuclear disarmament in order to bring the leaders of the world to their knees before the diabolical Cobra Commander. Now, as Cobra holds the entire globe hostage with a revolutionary new weapon placed on satellites orbiting the planet, it's up to the Joes and a trustworthy old friend to save the day.."
G.I. Joe: Retaliation,2013,5.8,164077,41,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",155000000,375700000,"Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive."
Snitch,2013,6.5,76910,51,"['Action', 'Drama', 'Thriller']",25000000,57900000,"Ever since his adventure in the center of the Earth, Sean Anderson has been looking for other places mentioned by Verne and other Vernians. He is notified about a coded message, and breaks into a satellite facility to fully receive it. With the help from his stepfather Hank (Dwayne Johnson) he decodes the message leading him to find the map that leads him to Verne's mysterious island. Along with Gabato and Kailani, Sean embarks on a mission to find his grandfather, the legendary Vernian Alexander. But unexpected problems arise as Alexander made a mistake that could change everything."
Journey 2: The Mysterious Island,2012,5.8,81754,41,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",79000000,335300000,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. As they assemble their elite team of top racers, the unlikely allies know their only shot of getting out for good means confronting the corrupt businessman who wants them dead. But he's not the only one on their tail. Hard-nosed federal agent Luke Hobbs never misses his target. When he is assigned to track down Dom and Brian, he and his strike team launch an all-out assault to capture them. But as his men tear through Brazil, Hobbs learns he can't separate the good guys from the bad. Now, he must rely on his instincts to corner his prey... before someone else runs them down first."
Fast Five,2011,7.3,325185,66,"['Action', 'Crime', 'Thriller']",125000000,626100000,"A lone man, recently released from prison, seeks out the people from his past who he believes betrayed him. While he forces each to atone for their sins, he must also face what meting out vengeance will do to his immortal soul. Meanwhile, he's not the only one looking to settle old scores. Hired by the man responsible for the events which lead him to prison, an eccentric contract killer follows his every move. Scenes of them crossing paths, sometimes violently, are interspersed with the assassin's self-realizations of how to deal with struggles within his own life. As if old enemies and hired guns aren't enough, a young female detective begrudgingly works alongside a veteran investigator looking to simply survive his last two weeks on the force before retirement, as they seek out the brazen ex-con who has been blazing a path of gasoline-powered destruction in his vintage Chevelle."
Faster,2010,6.5,92482,44,"['Action', 'Crime', 'Drama', 'Thriller']",24000000,35600000,"Terry Hoitz's past mistakes in the line of duty and Allen Gamble's reluctance to take risks have landed them the roles of the ""Other Guys"", disgraced New York City police detectives relegated to filling out paperwork for cocky hero cops Danson and Highsmith. The mismatched duo must look past their differences when they take on a high-profile investigation of shady capitalist David Ershon and attempt to fill the shoes of the notoriously reckless officers they idolize."
The Other Guys,2010,6.7,217883,64,"['Action', 'Comedy', 'Crime']",100000000,170400000,"Derek Thompson is 'The Tooth Fairy,' a hard-charging minor league hockey player whose nickname comes from his habit of separating opposing players from their bicuspids. When Derek discourages a youngster's hopes, he's sentenced to one week's hard labor as a real tooth fairy, complete with the requisite tutu, wings and magic wand. At first, Derek ""can't handle the tooth"" - bumbling and stumbling as he tries to furtively wing his way through strangers' homes...doing what tooth fairies do. But as Derek slowly adapts to his new position, he begins to rediscover his own forgotten dreams"
Tooth Fairy,2010,5,37000,36,"['Comedy', 'Family', 'Fantasy', 'Sport']",48000000,112500000,"Lem is just an average teenager working on getting the girl and furthering his career at the local planetarium - except that he's an alien. At least to U.S. astronaut Captain Charles T. Baker who lands on Lem's planet hoping for a quick flag plant and a hasty return to earth and his millions of screaming fans. But on this alien planet the media has tagged spacemen as brain-eating, zombie-creating monsters, causing Baker to run for his life and into Lem's house. Now it's up to the green native to get the clumsy astronaut back to his spaceship before military dictator General Grawl and mad scientist Professor Kipple manage to exterminate the Earthly visitor."
Planet 51,2009,6.1,46604,39,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",70000000,105600000,"In Las Vegas, the regenerated ex-con Jack Bruno works as taxi driver. During an UFO Convention at Planet Hollywood, the skeptical Jack picks up Dr. Alex Friedman, who will present a scientific lecture in the event. Then he is pressed by two henchmen of his former boss, the criminal Wolff, that wants to talk to him, but Jack does not want to return to the crime life. Jack fights and gets rid of them; out of the blue, he finds two teenagers on the backseat of his cab. They tell that they are siblings, Sara and Seth, and they need to travel to a location outside Las Vegas in the middle of nowhere. Meanwhile the government finds a spacecraft that crashed nearby Las Vegas and is chasing the two aliens; after the investigation of the men of Major Henry Burke, they discover that the two siblings are the aliens. Jack Bruno, Sara and Seth are chased by Henry Burke's team and by the ""Syphon"", a killer from outer space that has been sent to kill them by the military of their planet that want to invade Earth. Sara and Seth explain that they traveled to Earth to collect scientific data of an experiment and save Earth from invasion, but they need to return immediately to their planet. Jack teams up with Dr. Alex to retrieve their spacecraft in a secret base in the Witch Mountain."
Race to Witch Mountain,2009,5.7,50225,52,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']",50000000,106400000,"Joe Kingman is a huge football star. He's got women, money, and a good career. Everything is perfect for him. Then one day an 8 year old girl shows up at his door telling him that she's his daughter from a past relationship. Once he has proof that she is for a fact his, he tries but fails miserably at ""parenting."" From problems such as his super speedy car with no backseat, to leaving her in a bar at 3 am, he's got a lot to deal with. Eventually though, she gets him, (and his football team) wrapped around her finger. When she has a near-death experience and Joe finds out her mother died early that year, he wants her to move and live with him. Her aunt though disagrees and takes her home. Joe has to play the game of his life and when he's injured, and things don't look good for him, his daughter comes out and gets him right back on the field."
The Game Plan,2007,6.2,52479,44,"['Comedy', 'Family', 'Sport']",22000000,146600000,"In the Kilpatrick juvenile detention center, the supervisor and former football player Sean Porter sees the lack of discipline, self-esteem, union and perspective in the teenage interns and proposes to prepare a football team to play in one league. He is supported by his superiors and his successful experience changes the lives of many young kids."
Gridiron Gang,2006,6.9,41309,52,"['Crime', 'Drama', 'Sport']",30000000,41000000,"Southland Tales is an ensemble piece set in the futuristic landscape of Los Angeles on July 4, 2008, as it stands on the brink of social, economic and environmental disaster. Boxer Santaros is an action star who's stricken with amnesia. His life intertwines with Krysta Now, an adult film star developing her own reality television project, and Ronald Taverner, a Hermosa Beach police officer who holds the key to a vast conspiracy."
Southland Tales,2006,5.5,34751,44,"['Comedy', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",17000000,374743,Something has gone wrong at a remote scientific research station on Mars. All research has ceased. Communication has failed. And the messages that do get through are less than comforting. It's a level 5 quarantine and the only souls allowed in or out are the Rapid Response Tactical Squad - hardened Marines armed to the teeth with enough firepower to neutralize the enemy...or so they think.
Doom,2005,5.2,98121,34,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",60000000,56000000,"Streetwise mobster-turned-movie producer Chili Palmer is back, but this time Chili has abandoned the fickle movie industry and veered into the music business, tangling with Russian mobsters and gangsta rappers and taking a talented, feisty young singer named Linda Moon under his wing. From the recording studio to an Aerosmith concert to the MTV Music Awards, he manipulates events to watch them play out the Chili way, using his signature blend of wiseguy skills and negotiation tactics. It's a dangerous business, and everyone's looking for their next big hit."
Be Cool,2005,5.7,64146,37,"['Comedy', 'Crime', 'Music']",53000000,95200000,"After eight years serving the U.S. Army Special Forces, Sergeant Chris Vaughn returns to his hometown seeking for a job in the local mill. He is informed by Sheriff Stan Watkins that the mill was closed three years ago and now the Wild Cherry Casino, owned by his former high school friend Jay Hamilton, is the major source of jobs and income to the town. Chris goes home, and meets his best-friend Ray Templeton, who organized a football game with their friends. After the game, Jay invites Chris and his friends to spend the night in his casino on him, but when Chris finds that the casino crabs dealer is cheating with loaded dice, he fights against the security men and is almost killed by them. When his nephew Pete overdosed on crystal meth sold by the security men at the casino, Chris realizes that the town is dominated by the mobsters and the corrupt sheriff and with a huge piece of wood, he breaks the casino and the criminals. He is prosecuted and in the trial, he promises to the jury and to the population that if he is acquitted, he would be a candidate for sheriff and clean up the town. Later, Sheriff Chris Vaughn has to fight against the organized crime to keep his promise."
Walking Tall,2004,6.3,64493,44,"['Action', 'Crime']",46000000,57223890,"The Rock as a bounty hunter who attempts to square a debt by heading to the Amazon jungle to capture someone. The bounty hunter discovers that his quarry isn't the bad guy he'd been warned about, and the two team up in pursuit of riches stored in a mine in the Amazon."
The Rundown,2003,6.7,94434,59,"['Action', 'Adventure', 'Comedy', 'Thriller']",85000000,80900000,"In an ancient time, predating the pyramids, the evil king Memnon is using the psychic powers of his sorceress Cassandra to fortell his great victories. In a last ditch effort to stop Memnon from taking over the world, the leaders of the remaining free tribes hire the assassin Mathayus to kill the sorceress. But Mathayus ends up getting much more than he bargained for. Now with the help of the trickster Arpid, tribal leader Balthazar and an unexpected ally, it's up to Mathayus to fufill his destiny and become the great Scorpion King."
The Scorpion King,2002,5.5,120804,45,"['Action', 'Adventure', 'Fantasy', 'Thriller']",60000000,165300000,"Jack Taylor is a Beverly Hills gigolo who is blackmailed by a corrupt and powerful businessman, Laszlo Pryce. He is forced to seduce a wealthy widow in NYC to obtain insider information so his blackmailer can profit. Jack desperately tries to prevent harm coming to his little brother Alex, but unexpectedly falls for the woman he is forced to betray. Now, he must choose."
Longshot,2001,2.9,900,Nan,"['Action', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",,,"Many years ago, in Ancient Egypt, the Scorpion King led a menacing army, but when he sold his soul to Anubis, he was erased from history. Now he is only a myth...or is he? Rick and Evelyn O'Connell are still discovering new artifacts, along with their 8 year old son Alex. They discover the Bracelet of Anubis. But someone else is after the bracelet. High Priest Imhotep has been brought back from the dead once again and wants the bracelet, to control the Scorpion King's army. That's not the only problem. Imhotep now has Alex and with the bracelet attached to him, doesn't have long to live."
The Mummy Returns,2001,6.4,280155,48,"['Action', 'Adventure', 'Fantasy', 'Thriller']",98000000,433000000,
