title,year,rating,votes,metascore,genres,budget,gross,plot outline
The Taking of Pelham 123,2009,6.4,170530,55,"['Action', 'Crime', 'Thriller']",100000000.0,150000000.0,"In early afternoon, four armed men hijack a subway train in Manhattan. They stop on a slight incline, decoupling the first car to let the rest of the train coast back. Their leader is Ryder; he connects by phone with Walter Garber, the dispatcher watching that line. Garber is a supervisor temporarily demoted while being investigated for bribery. Ryder demands $10 million within an hour, or he'll start shooting hostages. He'll deal only with Garber. The mayor okays the payoff, the news of the hostage situation sends the stock market tumbling, and it's unclear what Ryder really wants or if Garber is part of the deal. Will hostages, kidnappers, and negotiators live through this?"
Bolt,2008,6.9,171016,67,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",150000000.0,310000000.0,"Bolt, an American white shepherd, has lived his whole life on the set of his action TV show, where he believes he has superpowers. When separated from the studio by accident, he meets a female alley cat named Mittens and a hamster named Rhino. He's trying to find the way home, to the studio. Along the way, he learns that he doesn't have superpowers and that the show is not real."
Hairspray,2007,6.7,110996,81,"['Comedy', 'Drama', 'Musical', 'Romance']",75000000.0,202500000.0,"Tracy Turnblad, a teenager with all the right moves, is obsessed with the Corny Collins Show. Every day after school, she and her best friend Penny run home to watch the show and drool over the hot Link Larkin, much to Tracy's mother Edna's dismay. After one of the stars of the show leaves, Corny Collins holds auditions to see who will be the next teen regular. With the help of her friend Seaweed, Tracy is chosen, angering evil dance queen Amber Von Tussle and her mother Velma. Tracy then decides that it's not fair that black kids can only dance on the show once a month (on ""Negro Day""), and with the help of Seaweed, Link, Penny, Motormouth Maybelle, her father, and Edna, she's going to integrate the show.....without denting her 'do."
Wild Hogs,2007,5.9,108252,27,"['Adventure', 'Comedy']",60000000.0,253600000.0,"Four middle-aged men decide to take a road trip from Cincinnati to the Pacific in order to get away from their lives which are leading them nowhere. Taking their motorcycles, these ""Wild Hogs"" tear up the road and eventually stop in New Mexico for a drink not knowing that the bar belongs to the ""Del Fuegos"", a mean biker gang. When the Del Fuegos steal a bike that belongs to the Wild Hogs, the four men form a plan to steal their bike back."
Lonely Hearts,2006,6.5,19267,60,"['Crime', 'Drama', 'Romance', 'Thriller']",,2519154.0,"In the late 1940's, Martha Beck and Raymond Fernandez were America's notorious ""Lonely Hearts Killers"". Their lethal scam was simple; they would swindle and then viciously murder lovelorn war widows who would answer their personal ads in which Ray would describe himself as a sexy Latin Lover. Ironically, Ray's initial introduction to Martha was as a prospective mark. But when they met, it was love at first sight, perhaps as a result of their penchant for kinky sex and their mutual love for duplicity and easy money. With Martha posing as Ray's sister, they bilked elderly spinsters and widows of their savings and then viciously murdered them in a bloodbath of sexual frenzy. When they were arrested, Martha and Ray confessed to 12 killings, although it is believed the actual number is closer to 20. At their sensational trial, Martha and Ray cooed, held hands and seemed as though they could not get enough of each other. Their plea of not guilty by reason of insanity was rejected, and on August 22, 1949, the homicidal lovers were sentenced to death. After numerous appeals, they were electrocuted on March 8, 1951, side-by-side in Sing Sing prison."
Be Cool,2005,5.7,64147,37,"['Comedy', 'Crime', 'Music']",53000000.0,95200000.0,"Streetwise mobster-turned-movie producer Chili Palmer is back, but this time Chili has abandoned the fickle movie industry and veered into the music business, tangling with Russian mobsters and gangsta rappers and taking a talented, feisty young singer named Linda Moon under his wing. From the recording studio to an Aerosmith concert to the MTV Music Awards, he manipulates events to watch them play out the Chili way, using his signature blend of wiseguy skills and negotiation tactics. It's a dangerous business, and everyone's looking for their next big hit."
Ladder 49,2004,6.5,52105,47,"['Action', 'Drama', 'Thriller']",60000000.0,102300000.0,"Under the watchful eye of his mentor Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. Jack has reached a crossroads, however, as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids. Responding to the worst blaze in his career, he becomes trapped inside a 20-story building. And as he reflects on his life, now Deputy Chief Kennedy frantically coordinates the effort to save him."
A Love Song for Bobby Long,2004,7.2,23776,48,['Drama'],,1841260.0,"A young woman, Pursy (played by Scarlett Johansson), learns that her estranged mother has died in New Orleans. She returns to her mother's house to discover that it is inhabited by two men, one an aging alcoholic, Bobby Long (John Travolta)."
The Punisher,2004,6.5,140573,33,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",33000000.0,54700000.0,"Special agent Frank Castle had it all: A loving family, a great life, and an adventurous job. But when his life is taken away from him by a ruthless criminal and his associates, Frank has become reborn. Now serving as judge, jury, and executioner, he's a new kind of vigilante out to wage a one man war against those who have done him wrong."
Basic,2003,6.5,55375,34,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",50000000.0,42800000.0,"Tom Hardy, an ex-Army Ranger turned DEA agent, is drawn into an ever-widening mystery surrounding the disappearance of the feared and often hated Sgt. Nathan West, as well as several of his elite Special Forces trainees on what appears, at first, to have been a routine training exercise during a hurricane in the jungles of Panama. Only two survivors are found, Dunbar, and a badly wounded Kendall, the son of a high-profile Joint Chiefs of Staff official. Neither is willing to cooperate with Capt. Julia Osborne's investigation. So base commander Col. Bill Styles calls in ex-Ranger Hardy, an old friend and a persuasive interrogator. Osborne disapproves of Hardy who is on leave from the D.E.A. after having come under suspicion of accepting bribes from local drug traffickers. She is also uneasy when she learns that Hardy once trained under West and hates him almost as passionately as his current recruits. With time running out, Hardy and Osborne call a temporary, if uneasy, truce. Hardy cajoles a confession out of Dunbar, who claims that Sgt. West and the missing Rangers have been murdered and their bodies blown away by the hurricane. When they later interview Kendall, he confirms that the other Rangers and West are dead. But, in almost every other way, his story contradicts Dunbar's. What happened to West and his Ranger team? And what were they really doing out there in the jungle? As each layer reveals more lies and greater deceptions, Hardy and Osborne inch towards the horrible truth about the fate of the missing Rangers."
Domestic Disturbance,2001,5.6,23063,29,"['Crime', 'Mystery', 'Thriller']",75000000.0,54200000.0,"Susan Morrison is getting married to wealthy industrialist Rick Barnes. Danny, her teenage son with ex-husband Frank, isn't happy about this; he stows away in Rick's car one night, planning to go to Frank's house. But while there, he witnesses Rick murdering mysterious stranger Ray Coleman. Problem is, Rick's managed to dispose of most of the evidence, and he's considered a pillar of the community, while Danny has a history of lying. Frank believes him, though, and does some investigating of his own, as Rick's shady past slowly catches up to him and his new family."
Swordfish,2001,6.5,167590,32,"['Action', 'Crime', 'Thriller']",102000000.0,147100000.0,"When the DEA shut down its dummy corporation operation codenamed SWORDFISH in 1986, they had generated $400 million which they let sit around; fifteen years of compound interest has swelled it to $9.5 billion. A covert counter-terrorist unit called Black Cell, headed by the duplicitious and suave Gabriel Shear, wants the money to help finance their raise-the-stakes vengeance war against international terrorism, but it's all locked away behind super-encryption. He brings in convicted hacker Stanley Jobson, who only wants to see his daughter Holly again but can't afford the legal fees, to slice into the government mainframes and get the money."
Lucky Numbers,2000,5.0,9317,31,"['Comedy', 'Crime']",63000000.0,10890222.0,"Winter 1988. Harrisburg, Pennsylvania is Russ Richard's oyster, there where he is the popular weatherman for WTPA Channel 6 News. That popularity allows him many perks in the city, especially at his local Denny's. Things start to go off the rails for him as this winter is unseasonably warm and not white, meaning that no one is buying from his snowmobile dealership, and none of his usual sources are willing to advance him any money to tide him over this rough business patch. In turning to Gig, a slightly shady acquaintance who operates a strip club and bar, Russ decides to turn to illegal activities to get the money he needs. After one failed attempt at that criminal life which has its own negative consequences, Russ instead decides on a lottery scam, his partners in crime being Gig, and Crystal Latroy, Russ' colleague at WTPA as the Pennsylvania Lucky Six Lottery girl - the lottery numbers which are drawn live on air during WTPA's supper hour news - and his sometime lover. Crystal is also sleeping with her and Russ' married boss, WTPA manager Dick Simmons, in an effort to get ahead in the world. Russ, Gig and Crystal are able to devise a plan to win the next jackpot, worth $6.4 million. As they enact the plan, which requires the assistance from a few others, the plan also potentially starts to go off the rails as those in the know and those who think that they know something about the fraud want what they believe is their fair share which, if Russ would agree, would get him further in the hole than he was before going into the venture. But as things get more and more dangerous and potentially lethal, Russ, Crystal and Gig begin to have diverging views on how to get out from the increasing mess based on their own tolerance of the risk for the potential reward."
Battlefield Earth,2000,2.5,71844,9,"['Action', 'Adventure', 'Sci-Fi']",43000000.0,29700000.0,"In the year 3000, humanity is no match for the Psychlos, a greedy, manipulative race on a quest for ultimate profit. Led by the seductive and powerful Terl, the Psychlos are stripping Earth of its resources, using the broken remnants of humanity as slaves. What is left of the human race has reverted to a primitive state, believing the invaders to be demons and technology to be evil. After humanity has all but given up any hope of freeing themselves from alien oppression, a young man named Tyler decides to leave his desolate home high in the Rocky Mountains to discover the truth, whereupon he is captured and enslaved. It is then that he decides to fight back, leading his fellow man in one final struggle for freedom."
The General's Daughter,1999,6.3,48260,47,"['Crime', 'Drama', 'Mystery', 'Thriller']",95000000.0,149000000.0,"The naked corpse of Captain Elisabeth Campbell, daughter of Lieutenant General ""Fighting Joe"" Campbell, is found staked out on the urban warfare range of Fort MacCallum. Army CID detectives and ex-lovers Paul Brenner and Sara Sunhill are called in to investigate, and find themselves wrapped up in a maelstrom of sexual impropriety and misguided face-saving."
A Civil Action,1998,6.6,25528,68,['Drama'],75000000.0,56000000.0,"Jan Schlichtmann, a tenacious lawyer, is addressed by a group of families. When investigating the seemingly non-profiting case, he finds it to be a major environmental issue that has a lot of impact potential. A leather production company could be responsible for several deadly cases of leukemia, but also is the main employer for the area. Schlichtmann and his three colleagues set out to have the company forced to decontaminate the affected areas, and of course to sue for a major sum of compensation. But the lawyers of the leather company's mother company are not easy to get to, and soon Schlichtmann and his friends find themselves in a battle of mere survival."
The Thin Red Line,1998,7.6,158360,78,"['Drama', 'War']",52000000.0,98100000.0,"U.S. Army Private Witt (AWOL) is found and imprisoned on a troop carrier by his company First Sergeant, Welsh.The men of C Company,1st Battalion,27th Infantry Regiment,25th Infantry Division have been brought to Guadalcanal as reinforcements in the campaign to secure Henderson Field and seize the island from the Japanese. They arrive near Hill 210, a key Japanese position. Their task is to capture the hill at all cost. What happens next is a story developing about redemption and the meaningless of war. Regardless the outcome."
Welcome to Hollywood,1998,5.3,648,Nan,['Comedy'],,,"A film director (Adam Rifkin) decides to chart the course of a young actor (Tony Markes) as he tries to make it in Hollywood. Attempts to get him noticed and placed in roles meet with failure. A guest role on ""Baywatch"" ends when he steps on a stingray and has to be hospitalized. The filmmaker's frustration is multiplied by the fact that the original actor (David Andriole) he had selected and who had to drop out of the project because of a studio commitment, meets success and constantly crops up in roles where the second actor is struggling for his break."
Primary Colors,1998,6.7,25827,70,"['Comedy', 'Drama']",65000000.0,52100000.0,Jack Stanton is running for president. The election is seen through the eyes of young Henry Burton. Along the way Stanton must deal with a sex scandal.
Mad City,1997,6.2,17982,45,"['Crime', 'Drama', 'Thriller']",50000000.0,10500000.0,"Sam Baily, upset over losing his job, takes a natural history museum hostage. Max Brackett, journalist, is in the museum when this occurs, and gets the scoop. The story spreads nation wide, and soon it is all anyone talks about. The story itself is the news, not the reason why or the real people behind it."
Face/Off,1997,7.3,320947,82,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",80000000.0,245700000.0,"Sean Archer, a very tough, rugged FBI Agent, is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy and a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal."
She's So Lovely,1997,5.9,7598,Nan,"['Drama', 'Romance']",18000000.0,7281450.0,"Maureen is pregnant and her husband Eddie is missing. Nervous, Maureen shares a couple of drinks with neighbor Kiefer, who tries to rape her and then beats her. When Eddie returns and finds his wife bruised, he goes ballistic, shoots a paramedic and is put in a psychiatric institution. Ten years later, Eddie is released and finds that Maureen has divorced him and is remarried with three children, one of whom is his little girl Jeanie. Eddie goes to reclaim his wife."
Michael,1996,5.7,38123,38,"['Comedy', 'Drama', 'Fantasy']",,119700000.0,"Frank Quinlan and Huey Driscoll, two reporters from a Chicago-based tabloid, along with Dorothy Winters, an 'angel expert', are asked to travel to rural Iowa to investigate a claim from an old woman that she shares her house with a real, live archangel named Michael. Upon arrival, they see that her claims are true - but Michael is not what they expected: he smokes, drinks beer, has a very active libido and has a rather colourful vocabulary. In fact, they would never believe it were it not for the two feathery wings protruding from his back. Michael agrees to travel to Chicago with the threesome, but what they don't realise is that the journey they are about to undertake will change their lives forever."
Phenomenon,1996,6.4,70134,41,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",32000000.0,152036382.0,"John Travolta plays George Malley, who owns the local auto repair shop in a small California town. After celebrating his birthday with friends at the local bar/hang-out, George heads for home. He pauses to watch a strange light in the sky, then collapses for a few seconds in the middle of the deserted street. In the days and weeks that follow, George finds his IQ and consciousness expanding dramatically, and develops telekinetic abilities. Despite his attempts to explain what has happened to him, with just a very few exceptions, most of the local townspeople treat the ""new"" George as a freak. His state of isolation becomes even more pronounced when his new-found abilities allow him to correctly predict an earthquake, and outside authorities become interested in what's happened to him."
Broken Arrow,1996,6.0,84843,61,"['Action', 'Adventure', 'Thriller']",50000000.0,150200000.0,"""Broken Arrow"" is the term used to describe a nuclear device that has been lost. In this movie, two nuclear missiles are stolen by rogue US pilot Deakins, but hot on his trail is his co-pilot Hale and a Park Ranger, Terry. The action takes place in Utah's canyon country; a high stakes game of cat and mouse."
Get Shorty,1995,6.9,70103,82,"['Comedy', 'Crime', 'Thriller']",30000000.0,115000000.0,"Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history."
Look Who's Talking Now,1993,4.3,25411,Nan,"['Comedy', 'Family', 'Romance']",22000000.0,10340263.0,"In this, the third film, it's the pets who do the talking. The Ubriacco's find themselves the owners of two dogs, Rocks, a street wise cross breed, and Daphne, a spoiled pedigree poodle. James has a new job, pilot to the sexy and lonely Samantha. Mollie's just lost hers and is stuck at home."
Boris and Natasha,1992,4.6,686,Nan,"['Action', 'Comedy']",1000000.0,294205.0,"Boris Badenov and Natasha Fatale are still spies for the mean little country of Pottsylvania, where, sandwiched between the nations Wrestlemania and Yoursovania, the Cold War is still frigid. Their Fearless Leader hatches a plan to capture a time-reverse micro-chip, using the two spies as high-profile patsies. They clumsily defect to America and try to unravel F.L.'s master plan. But can these dim-witted fools survive a secret assassin, exploding potatoes and the temptations of capitalism? And what of their old foes, ""Moosk unt Squoirrel""?"
Shout,1991,5.1,1692,Nan,"['Drama', 'Music', 'Romance']",11000000.0,3547684.0,Nan
Eyes of an Angel,1991,5.4,1016,Nan,['Drama'],,,"John Travolta is a downtrodden single father raising his daughter under difficult circumstances in Chicago. The young girl comes upon and then nurses a wounded Doberman used for fighting, back to health. Duped by underworld types he was working as a courier for, father and daughter leave the dog and flee cross-country to Los Angeles with both canine and mobsters in pursuit."
Chains of Gold,1991,5.1,789,Nan,"['Action', 'Crime', 'Drama', 'Thriller']",,,"Scott Barnes is an alcoholic turned social worker hellbent on saving a young boy named Tommy from self-destructing when he finds out he has begun selling crack in an organization called YIP, run by Carlos."
Look Who's Talking Too,1990,4.5,41256,Nan,"['Comedy', 'Family', 'Romance']",,47800000.0,"Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time."
Look Who's Talking,1989,5.8,71654,51,['Comedy'],7500000.0,297000000.0,"Mollie is a single mum who's on the lookout for a reliable and normal boyfriend. Her son Mikey, (unbeknownst to her) seems to have a better idea of which of the men she dates would make a good father figure! If only she could understand him..."
The Experts,1989,4.7,2115,Nan,['Comedy'],3000000.0,169203.0,Travis and Wendell are kidnapped while on their way to opening a nightclub in rural Nebraska. The KGB spy Cameron Smith takes them to the U.S.S.R. instead with the intention of teaching KGB agents to be hip like Americans.
Perfect,1985,4.3,4068,46,"['Drama', 'Romance']",20000000.0,12918858.0,"Fed up with writing obituaries for a local New Jersey newspaper, the inquisitive and ambitious journalist, Adam Lawrence, finally gets his big break, when--as a Rolling Stone reporter--gets to interview a well-off entrepreneur accused of drug-dealing. However, one brief look at the tight-bodied members of a modern gym will have Adam itching to write an exposé on the latest craze of fitness and health centres, where aerobics instructors like the ferociously-astonishing, Jessie, are the absolute stars. But, Jessie, really despises interviewers. Will she ever let him into her sultry world of cool music, high-energy exercise, and perfection?"
Two of a Kind,1983,4.8,3560,5,"['Comedy', 'Fantasy', 'Romance']",,23646952.0,"God has had just about enough of the human's attitude so he will destroy the planet very soon. It is up to a struggling inventor and a bank teller, both with very amateur criminal minds, to save the world..."
Staying Alive,1983,4.5,13023,23,"['Drama', 'Music', 'Romance']",22000000.0,64800000.0,"In this sequel to Saturday Night Fever, former disco king Tony Manero has left Brooklyn and lives in Manhattan. He stays in a cheap hotel and works as a dance instructor and as a waiter at a dance club, trying to succeed as a professional dancer on Broadway. The breakaway from his Brooklyn life, family and friends seems to have matured Tony and refined his personality, represented by his diminished accent and his avoidance of alcohol and profanity. However, certain attitudes have not changed, as with his most recent girlfriend, who's also the singer of a local rock band."
Blow Out,1981,7.4,36201,85,"['Mystery', 'Thriller']",18000000.0,14000000.0,"This stylish Brian De Palma thriller plays off the theme of the unsuspecting witness who discovers a crime and is thereby put in grave danger, but with a novel twist. Jack Terry is a master audio technician who makes his living by recording unique sounds for grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust."
Urban Cowboy,1980,6.3,11731,61,"['Drama', 'Romance', 'Western']",10000000.0,53300000.0,"Bud Davis is a country boy who moves to the city to visit his uncle and his family. He starts hanging out at Gilley's, the popular nightclub owned by Mickey Gilley himself. He takes a job at the oil refinery where his uncle works, hoping to save enough money to buy some land. He also meets a cowgirl named Sissy, they dance together, fall in love and suddenly get married. And then their marriage is shattered when Bud sees Sissy allegedly seeing con man Wes, who teaches her how to ride the mechanical bull... and plans to rob Gilley's. When a bull-riding contest at Gilley's is announced, Bud decides to sign up. Can he win the contest and save his marriage to Sissy?"
"Welcome Back, Kotter",1975,7.0,4605,Nan,['Comedy'],,,"Gabe Kotter is a high-school teacher with a bunch of unruly students in his class. The student troublemakers are led by Vinnie Barbarino, who has a knack for rhyming insults."
Moment by Moment,1978,2.9,977,Nan,"['Drama', 'Romance']",8000000.0,10963824.0,"One year after ""Saturday Night Fever,"" John Travolta starred in this love story between a young drifter and an older woman - Lily Tomlin. The characters are savagely portrayed, and the story is set against a backdrop of shrink-riddled and over-privileged society."
Grease,1978,7.2,204623,70,"['Musical', 'Romance']",6000000.0,395000000.0,"A musical about teens in love in the 50's! It's California 1959 and greaser Danny Zuko and Australian Sandy Olsson are in love. They spend time at the beach, and when they go back to school, what neither of them knows is that they both now attend Rydell High. Danny's the leader of the T-Birds, a group of black leather jacket-wearing greasers while Sandy hangs with the Pink Ladies, a group of pink-wearing girls led by Rizzo. When they clash at Rydell's first pep rally, Danny isn't the same Danny from the beach. They try to be like each other so they can be together."
Saturday Night Fever,1977,6.8,63270,77,"['Drama', 'Music']",3500000.0,237100000.0,"Nineteen-year-old Brooklyn native Tony Manero lives for Saturday nights at the local disco, where he's king of the club, thanks to his stylish moves on the dance floor. But outside of the club, things don't look so rosy. At home, Tony fights constantly with his father and has to compete with his family's starry-eyed view of his older brother, a priest. Nor can he find satisfaction at his dead-end job at a small paint store. However, things begin to change when he spies Stephanie Mangano in the disco and starts training with her for the club's dance competition. Stephanie dreams of the world beyond Brooklyn, and her plans to move to Manhattan just over the bridge soon change Tony's life forever."
The Boy in the Plastic Bubble,1976,5.7,4005,Nan,"['Biography', 'Drama', 'Romance']",,,"Based on a true story, Tod Lubitch is born with a deficient immune system (which is unlike being born with AIDS). As such, he must spend the rest of his life in a completely sterile environment. His room is completely hermetically sealed against bacteria and virus, his food is specially prepared, and his only human contact comes in the form of gloved hands. The movie follows his life into a teenager."
Carrie,1976,7.4,148919,85,['Horror'],1800000.0,33800000.0,"It's nearing the end of the school year. High school senior Carrie White is a social outcast, largely due to being unwise to the ways of the world based on her upbringing. Her mother, Margaret White, is a religious fanatic, her extreme views primarily targeted against sex, which she believes is a sin. She even believes natural associated processes such as menstruation are a sin, about which she has refused to mention to Carrie. Mrs. White's beliefs were taken to that extreme largely because of her own failed marriage and her husband Ralph long ago having run off with another woman. The only adult authority figure who tries to help Carrie with her life is her phys ed teacher, Miss Collins, who is nonetheless warned not to get too close to go against how Mrs. White chooses to raise Carrie, Mrs. White whose beliefs are well known in the community. An impromptu event that happens among Carrie's phys ed classmates against her leads to her classmates being punished. One of those students, self absorbed Chris Hargensen, vows revenge against Carrie for that punishment, the method of the revenge associated to the phys ed class incident. Another student however, the popular Sue Snell, begins to feel sorry for Carrie. In wanting to help her get out of her shell, Sue asks her boyfriend, the equally popular Tommy Ross, to take Carrie to the senior prom instead of her. This move does not sit well with Mrs. White, who in her extreme view believes Carrie will fall prey to sin. All these competing issues lead to Carrie deciding on an impulse to use a newfound skill to free herself from the figurative chains that have long been placed around her, with tragic consequences."
The Tenth Level,1976,6.6,177,Nan,['Drama'],300000.0,,"Inspired by the Stanley Milgram obedience research, this TV movie chronicles a psychology professor's study to determine why people, such as the Nazis, were willing to ""just follow orders"" and do horrible things to others. Professor Stephen Turner leads students to believe that they are applying increasingly painful electric shocks to other subjects when they fail to perform a task correctly, and is alarmed to see how much pain the students can be convinced to inflict ""in the name of science."""
