title,year,rating,votes,metascore,genres,budget,gross,plot outline
Gamer,2009,5.8,123637,27,"['Action', 'Sci-Fi', 'Thriller']",50000000.0,42000000.0,"Ken Castle is extremely rich, popular and powerful since he invented and started exploiting the virtual online parallel reality games, in which people can either pay as user or be paid as 'actor' in a system of mind-control. The ultimate version, Slayers, fields death row convicts as gladiators in a desperate dim bid for survival, which no-one made yet. The champion, John 'Kable' Tillman, was scheduled to die just before he'ld gain release, but he persuades his teenage 'handler' to hand over the reins so he can fully use his talents and experience. Thus Kable escapes to freedom, only to be chased illegally by Castle's men, yet fights back all the way to his HQ and challenges his evil hidden plans."
The Ugly Truth,2009,6.5,187037,28,"['Comedy', 'Romance']",38000000.0,205298907.0,"A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love. His clever ploys, however, lead to an unexpected result."
RocknRolla,2008,7.3,217192,53,"['Action', 'Crime', 'Thriller']",18000000.0,25739015.0,"Lenny Cole, a London mob boss, puts the bite on all local real estate transactions. For substantial fees, he's helping Uri Omovich, a Russian developer. As a sign of good faith, Omovich loans Cole a valuable painting, promptly stolen off Cole's wall. While Cole's men, led by the dependable Archie, look for the canvas, three local petty criminals, the Wild Bunch, steal money from the Russian using inside information from his accountant, the lovely Stella. Meanwhile, a local drug-addled rocker, Johnny Quid, is reported drowned, and his connection to Cole is the key to unraveling the deceits and double crosses of life in the underworld."
Nim's Island,2008,6.0,31080,55,"['Adventure', 'Comedy', 'Family', 'Fantasy']",37000000.0,100100000.0,"Nim Rusoe is a girl who joins her father, a scientist, when he does research on marine life on an island. It's just the two of them but she spends her time making friends with all the animals she encounters, chatting on the computer and reading the adventure books of Alex Rover. When her father goes to do some research but when a storm strikes the island he doesn't come back, she gets worried and frightened. She then e-mails Alex Rover hoping that he will come but what she doesn't know is that Alex Rover is a woman who is agoraphobic and germaphobic. But her creation comes to life and eggs her to go. Unfortunately she has never gone anywhere before and is denied her necessities like her sanitary gel by the customs officer at the airport. In the meantime, Nim tries to be strong while waiting for Alex to arrive."
Shattered,2007,6.7,28404,Nan,"['Crime', 'Drama', 'Mystery', 'Thriller']",20000000.0,,"The happily-married couple of Neil and Abby Randall have worked very hard to create a healthy and safe bubble for themselves and their only daughter, Sophie. However, their seemingly idyllic life will start crumbling into pieces when, out of the blue, the determined and methodical gunman, Tom Ryan, holds them captive, as his cold-blooded accomplice uses Sophie for leverage. Now, Abby and Neil have no other choice but to do Tom's bidding if they want to keep their child alive--and with every task they successfully perform--they see a piece of their orderly life being robbed from them. But, why is this perfect stranger bent on destroying three innocents?"
300,2006,7.7,682400,52,"['Action', 'Fantasy']",65000000.0,456100000.0,"In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes led a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, 700 Thespians, and 400 Thebans. Xerxes waited for 10 days for King Leonidas to surrender or withdraw but left with no options he pushed forward. After 3 days of battle all the Greeks were killed. The Spartan defeat was not the one expected, as a local shepherd, named Ephialtes, defected to the Persians and informed Xerxes that the separate path through Thermopylae, which the Persians could use to outflank the Greeks, was not as heavily guarded as they thought."
Beowulf & Grendel,2005,5.9,16693,53,"['Action', 'Adventure', 'Drama', 'Fantasy']",,,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster. The monster, Grendel, is not a creature of mythic powers, but one of flesh and blood - immense flesh and raging blood, driven by a vengeance from being wronged, while Beowulf, a victorious soldier in his own right, has become increasingly troubled by the hero-myth rising up around his exploits. Beowulf's willingness to kill on behalf of Hrothgar wavers when it becomes clear that the King is more responsible for the troll's rampages than was first apparent. As a soldier, Beowulf is unaccustomed to hesitating. His relationship with the mesmerizing witch, Selma, creates deeper confusion. Swinging his sword at a great, stinking beast is no longer such a simple act. The story is set in barbarous Northern Daneland (Denmark)."
The Game of Their Lives,2005,6.2,2928,47,"['Drama', 'History', 'Sport']",13000000.0,388998.0,Nan
The Phantom of the Opera,2004,7.3,108469,40,"['Drama', 'Musical', 'Romance', 'Thriller']",70000000.0,154600000.0,"Begins when an opera ghost terrorizes the cast and crew of the French Opera House while tutoring a chorus girl. He finally drives the lead soprano crazy so she and her friend leave. The girl is able to sing lead one night but the soprano doesn't want her show stolen so she comes back. The ghost demands they keep giving his protégé lead roles. Meanwhile, His pupil falls in love with the Vicomte de Chagny, but the Phantom is in love with Christine, his student. The Phantom is outraged by their love and kidnaps Christine to be his eternal bride. Will Raoul, the Vicomte, be able to stop this dastardly plan?"
Dear Frankie,2004,7.8,20231,63,"['Drama', 'Romance']",,2980136.0,"Nine-year-old Frankie and his single mum Lizzie have been on the move ever since Frankie can remember, most recently arriving in a seaside Scottish town. Wanting to protect her deaf son from the truth that they've run away from his father, Lizzie has invented a story that he is away at sea on the HMS Accra. Every few weeks, Lizzie writes Frankie a make-believe letter from his father, telling of his adventures in exotic lands. As Frankie tracks the ship's progress around the globe, he discovers that it is due to dock in his hometown. With the real HMS Accra arriving in only a fortnight, Lizzie must choose between telling Frankie the truth or finding the perfect stranger to play Frankie's father for just one day..."
Timeline,2003,5.6,56922,28,"['Action', 'Adventure', 'Sci-Fi']",80000000.0,43900000.0,"A group of archaeologists and combat experts led by Paul Walker and Frances O'Connor use a ""3-D fax machine"" (so much for technobabble!) to time-travel back to France in 1357, in hopes of retrieving Walker's father and returning safely to the present. No such luck. Fending for themselves against marauding hordes of medieval French warriors at war with the invading British, these semi-intrepid travelers find their body count rising, and the deadline for their return home is rapidly approaching."
Reign of Fire,2002,6.2,118275,39,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",60000000.0,82200000.0,"In present-day London, 12-year-old Quinn Abercromby witnesses the awakening of a hibernating dragon from a centuries-long slumber, the result of a construction dig supervised by his mother and an incident for which Quinn feels partially responsible. Twenty years later, the adult Quinn (Christian Bale) is the fire chief of a refortified castle community, responsible for dousing the blazes lit by the dragon's prodigious number of flame-spewing offspring, airborne juggernauts that have wreaked havoc across the globe, torching civilization and turning humans into an endangered species. Hope arrives in the form of Denton ""Dragon Slayer"" Van Zan (Matthew McConaughey), an American known to be the only man to ever kill one of the dragons, and Alex (Izabella Scorupco), a scientist/pilot who's a member of Van Zan's army, a zealous fighting force that includes a secret weapon: the Archangels, paratroopers using themselves as bait to attract and then dispatch the deadly beasts."
Shooters,2002,5.7,1062,Nan,"['Crime', 'Drama', 'Thriller']",,,Nan
Jewel of the Sahara,2001,7.1,197,Nan,"['Comedy', 'Short', 'Fantasy']",,,Nan
Attila,2001,6.7,9489,Nan,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance', 'War']",,,"A romanced story of Attila the Hun, from when he lost his parents in childhood until his death. Attila is disclosed as a great leader, strategist and lover and the movie shows his respect to the great Roman strategist Flavius Aetius, his loves and passions, the gossips, intrigues and betrayals in Rome, all of these feelings evolved by magic and mysticism."
Dracula 2000,2000,4.9,30014,26,"['Action', 'Fantasy', 'Horror', 'Thriller']",54000000.0,47100000.0,"In the millenium version of this classic Gothic horror we find Abraham Van Helsing (Plummer), who has tangled with Count Dracula (Butler) in the past, working as an English antiques dealer. Simon (Miller) is a vampire hunter in training under his apprenticeship. Van Helsing and Simon travel from London to New Orleans to rescue Van Helsing's daughter Mary (Waddell) from the family's life long nemesis - Dracula."
One More Kiss,1999,6.4,614,Nan,"['Drama', 'Romance']",,,"When Sarah Hopson realizes her successful high-rise New York lifestyle is devoid of meaning, she packs her bags and heads for her home town in the Scottish Borders to look for Sam, her childhood sweetheart and the only man she ever loved. Sam Murray runs a restaurant. He and Sarah grew up together and Sam hoped they'd grow old together. His world fell apart the day Sarah left and now she's back, standing on his doorstep and telling his wife she'd like to spend some time with him."
Fast Food,1999,5.2,201,Nan,"['Action', 'Comedy']",,,Nan
